Gilberto,Lowin,2,CR47 7428 0974 7071 7562 2,1167.28
Calypso,Carville,3,FR36 0461 7977 05SK 6QCD BUXU F15,1179.71
Miof mela,Megany,2,MT39 KYWK 1254 2BQC MJB5 0XON QBAU 308,969.18
Rhea,Ewdale,3,MU42 TRJH 4441 9814 2370 9856 567E IV,546.08
Tamra,Hullins,3,PT29 9705 8447 9337 6399 1180 8,796.65
Ailis,Lamball,1,VG06 MTGX 7561 4637 6819 7942,1025.81
Gannon,Rotchell,3,AZ67 NTEU VK60 03WE SGOT BJEA 8515,898.17
Julee,Macrae,3,SM91 W660 1749 663L NMG8 IL99 IIR,720.28
Lou,Bizzey,1,HU14 1780 7087 3595 1608 7335 5301,328.1
Brant,Cotte,3,SI13 0979 5627 2816 855,637.73
Thorn,Lawty,3,KW46 QQWP VIZT ZE3P CBAK B8I0 N8UM RU,489.74
Laurice,Leonard,2,MT42 JGLJ 0652 9J7V SPCG KHP7 9RVV 44G,334.95
Gwenni,Sheron,3,TR52 2762 6YCM AWQN QE7R SCQP V3,1048.56
Mohandis,Hughesdon,2,DO88 KWUD 1075 3409 3053 6772 9318,435.34
Jennine,Mungan,1,AL43 6958 8752 4RYD QXER XKSG RSFH,293.92
Valli,Broyd,3,PK54 JHKI ACDY 8NIH BA3S LDII,1179.61
Batholomew,Blevin,3,FR25 8703 1265 33JY H5J4 1X7Y O92,993.3
Dillie,de Amaya,3,HR91 2802 6148 7029 7021 4,1038.32
Ive,Avison,3,AL02 0007 1098 WQAG TMJ3 BULJ 1ZDN,1001.18
Cesare,Gawler,3,FR92 6967 4002 15CY 1XP2 CW48 J15,525.23
Calypso,Carville,3,FR36 0461 7977 05SK 6QCD BUXU F15,1179.71
Miof mela,Megany,2,MT39 KYWK 1254 2BQC MJB5 0XON QBAU 308,969.18
Rhea,Ewdale,3,MU42 TRJH 4441 9814 2370 9856 567E IV,546.08
Tamra,Hullins,3,PT29 9705 8447 9337 6399 1180 8,796.65
Ailis,Lamball,1,VG06 MTGX 7561 4637 6819 7942,1025.81
Gannon,Rotchell,3,AZ67 NTEU VK60 03WE SGOT BJEA 8515,898.17
Julee,Macrae,3,SM91 W660 1749 663L NMG8 IL99 IIR,720.28
Lou,Bizzey,1,HU14 1780 7087 3595 1608 7335 5301,328.1
Brant,Cotte,3,SI13 0979 5627 2816 855,637.73
Thorn,Lawty,3,KW46 QQWP VIZT ZE3P CBAK B8I0 N8UM RU,489.74
Laurice,Leonard,2,MT42 JGLJ 0652 9J7V SPCG KHP7 9RVV 44G,334.95
